City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Manavalakurichi,IN,8.1333,77.3,78.51,89,100,13.38,overcast clouds
242,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
243,Vanimo,PG,-2.6741,141.3028,77.13,86,88,3.83,overcast clouds
244,Matara,LK,5.9485,80.5353,77.72,90,100,16.06,light rain
245,The Valley,AI,18.217,-63.0578,84.06,65,40,19.57,scattered clouds
246,Dalby,AU,-27.1833,151.2667,63.99,97,89,7.72,overcast clouds
247,Coxim,BR,-18.5067,-54.76,91.96,35,99,7.25,overcast clouds
248,Yatou,CN,37.15,122.3833,48.34,42,0,4.18,clear sky
249,Kaeo,NZ,-35.1,173.7833,52.32,94,92,5.93,overcast clouds
250,Tete,MZ,-16.1564,33.5867,68.09,73,0,0.0,clear sky
251,Balykshi,KZ,47.0667,51.8667,60.8,72,0,11.18,clear sky
252,Boca Do Acre,BR,-8.7522,-67.3978,86.7,68,100,3.18,overcast clouds
253,Whyalla,AU,-33.0333,137.5833,59.34,81,0,9.08,clear sky
254,Termiz,UZ,37.2242,67.2783,66.29,68,75,9.22,broken clouds
255,Pevek,RU,69.7008,170.3133,32.14,93,100,8.43,overcast clouds
256,Yajalon,MX,17.2333,-92.3333,84.02,24,6,5.17,clear sky
257,Aguimes,ES,27.9054,-15.4461,68.63,73,20,21.85,few clouds
258,Snezhnogorsk,RU,69.1933,33.2531,46.18,75,13,5.19,few clouds
259,Pajapan,MX,18.25,-94.7,86.16,45,0,9.78,clear sky
260,Naryan-Mar,RU,67.6713,53.087,45.36,81,1,8.79,clear sky
261,Roald,NO,62.5833,6.1333,48.33,76,0,17.27,clear sky
262,Isangel,VU,-19.55,169.2667,72.72,72,100,10.87,overcast clouds
263,Atessa,IT,42.0693,14.4511,65.66,72,4,2.62,clear sky
264,Dawei,MM,14.0833,98.2,78.03,90,97,2.26,overcast clouds
265,Sycamore,US,41.9889,-88.6868,86.09,27,0,5.75,clear sky
266,Atagay,RU,55.1033,99.3875,52.03,39,41,3.51,scattered clouds
267,Arua,UG,3.0201,30.9111,69.71,63,3,4.14,clear sky
268,Udalguri,IN,26.7667,92.1333,73.44,92,98,5.48,overcast clouds
269,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,33,0,12.66,clear sky
270,Mulino,RU,56.2892,42.9201,45.3,92,55,6.91,broken clouds
271,Padang,ID,-0.9492,100.3543,79.03,85,11,3.56,few clouds
272,Souillac,MU,-20.5167,57.5167,75.58,73,20,6.91,few clouds
273,Ozernovskiy,RU,51.5,156.5167,40.26,91,100,14.23,overcast clouds
274,Kusu,JP,33.2831,131.1514,50.02,47,63,1.9,broken clouds
275,Raga,SS,8.4596,25.678,76.41,72,99,6.98,light rain
276,Tecoanapa,MX,16.5167,-98.75,88.74,57,38,11.86,scattered clouds
277,Port Lincoln,AU,-34.7333,135.8667,61.52,70,24,15.95,few clouds
278,Yulara,AU,-25.2406,130.9889,63.93,63,98,6.76,overcast clouds
279,Namie,JP,37.4833,141.0,57.72,78,100,6.55,overcast clouds
280,Black River,JM,18.0264,-77.8487,86.25,63,15,18.72,few clouds
281,Koumac,NC,-20.5667,164.2833,72.75,85,36,2.64,scattered clouds
282,Clyde River,CA,70.4692,-68.5914,26.83,80,20,9.22,few clouds
283,Rondonopolis,BR,-16.4708,-54.6356,95.74,27,30,3.51,scattered clouds
284,Ahuimanu,US,21.4447,-157.8378,80.31,63,20,14.97,few clouds
285,Fukue,JP,32.6881,128.8419,63.05,51,90,22.66,overcast clouds
286,Sydney,AU,-33.8679,151.2073,65.34,85,27,7.0,fog
287,Kashi,CN,39.4547,75.9797,60.01,77,75,6.71,broken clouds
288,Broome,US,42.2506,-75.833,80.65,61,75,1.01,broken clouds
289,Mbekenyera,TZ,-10.0,38.9833,70.07,76,15,4.34,few clouds
290,Tyukalinsk,RU,55.8732,72.1967,54.55,77,100,9.31,overcast clouds
291,Weligama,LK,5.9667,80.4167,78.01,89,100,16.33,moderate rain
292,Laguna,US,38.421,-121.4238,84.63,35,0,12.66,clear sky
293,Ararangua,BR,-28.9347,-49.4858,70.27,74,100,5.48,overcast clouds
294,Saraipali,IN,21.3333,83.0,94.01,31,66,6.87,broken clouds
295,Half Moon Bay,US,37.4636,-122.4286,82.54,62,0,12.66,clear sky
296,Berlevag,NO,70.8578,29.0864,40.95,81,24,2.3,few clouds
297,Kankan,GN,10.3854,-9.3057,93.2,21,16,4.76,few clouds
298,Lavrentiya,RU,65.5833,-171.0,30.15,97,96,6.29,overcast clouds
299,Bereznik,RU,62.8551,42.7072,46.51,96,76,4.61,broken clouds
300,Vikravandi,IN,12.0333,79.55,83.73,75,100,11.07,overcast clouds
